,Sample combination,Bray_curtis_value
627,"(22, 23)",0.66
628,"(22, 24)",0.66
629,"(22, 25)",0.59
630,"(22, 26)",0.59
631,"(22, 27)",0.6
632,"(22, 28)",0.35
633,"(22, 29)",0.35
634,"(22, 30)",0.39
635,"(22, 31)",0.27
636,"(22, 32)",0.26
637,"(22, 33)",0.38
638,"(22, 34)",0.39
639,"(22, 35)",0.36
640,"(22, 36)",0.36
641,"(22, 37)",0.6
642,"(22, 38)",0.61
643,"(22, 39)",0.68
644,"(23, 24)",0.06
645,"(23, 25)",0.19
646,"(23, 26)",0.16
647,"(23, 27)",0.62
648,"(23, 28)",0.64
649,"(23, 29)",0.68
650,"(23, 30)",0.69
651,"(23, 31)",0.65
652,"(23, 32)",0.65
653,"(23, 33)",0.59
654,"(23, 34)",0.58
655,"(23, 35)",0.67
656,"(23, 36)",0.68
657,"(23, 37)",0.62
658,"(23, 38)",0.62
659,"(23, 39)",0.82
660,"(24, 25)",0.21
661,"(24, 26)",0.18
662,"(24, 27)",0.64
663,"(24, 28)",0.65
664,"(24, 29)",0.69
665,"(24, 30)",0.7
666,"(24, 31)",0.65
667,"(24, 32)",0.64
668,"(24, 33)",0.6
669,"(24, 34)",0.59
670,"(24, 35)",0.69
671,"(24, 36)",0.69
672,"(24, 37)",0.64
673,"(24, 38)",0.64
674,"(24, 39)",0.82
675,"(25, 26)",0.06
676,"(25, 27)",0.57
677,"(25, 28)",0.57
678,"(25, 29)",0.6
679,"(25, 30)",0.61
680,"(25, 31)",0.57
681,"(25, 32)",0.57
682,"(25, 33)",0.6
683,"(25, 34)",0.58
684,"(25, 35)",0.66
685,"(25, 36)",0.67
686,"(25, 37)",0.58
687,"(25, 38)",0.58
688,"(25, 39)",0.72
689,"(26, 27)",0.56
690,"(26, 28)",0.57
691,"(26, 29)",0.6
692,"(26, 30)",0.61
693,"(26, 31)",0.59
694,"(26, 32)",0.58
695,"(26, 33)",0.6
696,"(26, 34)",0.59
697,"(26, 35)",0.67
698,"(26, 36)",0.68
699,"(26, 37)",0.56
700,"(26, 38)",0.56
701,"(26, 39)",0.73
702,"(27, 28)",0.47
703,"(27, 29)",0.47
704,"(27, 30)",0.47
705,"(27, 31)",0.66
706,"(27, 32)",0.65
707,"(27, 33)",0.79
708,"(27, 34)",0.8
709,"(27, 35)",0.74
710,"(27, 36)",0.75
711,"(27, 37)",0.02
712,"(27, 38)",0.03
713,"(27, 39)",0.36
714,"(28, 29)",0.09
715,"(28, 30)",0.1
716,"(28, 31)",0.31
717,"(28, 32)",0.32
718,"(28, 33)",0.39
719,"(28, 34)",0.39
720,"(28, 35)",0.35
721,"(28, 36)",0.36
722,"(28, 37)",0.47
723,"(28, 38)",0.46
724,"(28, 39)",0.5
725,"(29, 30)",0.05
726,"(29, 31)",0.34
727,"(29, 32)",0.35
728,"(29, 33)",0.41
729,"(29, 34)",0.41
730,"(29, 35)",0.33
731,"(29, 36)",0.34
732,"(29, 37)",0.47
733,"(29, 38)",0.47
734,"(29, 39)",0.47
735,"(30, 31)",0.37
736,"(30, 32)",0.38
737,"(30, 33)",0.44
738,"(30, 34)",0.44
739,"(30, 35)",0.37
740,"(30, 36)",0.37
741,"(30, 37)",0.47
742,"(30, 38)",0.46
743,"(30, 39)",0.45
744,"(31, 32)",0.03
745,"(31, 33)",0.29
746,"(31, 34)",0.31
747,"(31, 35)",0.24
748,"(31, 36)",0.25
749,"(31, 37)",0.66
750,"(31, 38)",0.66
751,"(31, 39)",0.7
752,"(32, 33)",0.29
753,"(32, 34)",0.31
754,"(32, 35)",0.25
755,"(32, 36)",0.25
756,"(32, 37)",0.65
757,"(32, 38)",0.65
758,"(32, 39)",0.7
759,"(33, 34)",0.03
760,"(33, 35)",0.32
761,"(33, 36)",0.32
762,"(33, 37)",0.79
763,"(33, 38)",0.79
764,"(33, 39)",0.8
765,"(34, 35)",0.33
766,"(34, 36)",0.33
767,"(34, 37)",0.79
768,"(34, 38)",0.79
769,"(34, 39)",0.8
770,"(35, 36)",0.03
771,"(35, 37)",0.75
772,"(35, 38)",0.75
773,"(35, 39)",0.73
774,"(36, 37)",0.75
775,"(36, 38)",0.76
776,"(36, 39)",0.74
777,"(37, 38)",0.02
778,"(37, 39)",0.37
779,"(38, 39)",0.38
