,Sample combination,Bray_curtis_value
693,"(26, 31)",0.05
694,"(26, 32)",0.05
695,"(26, 33)",0.06
696,"(26, 34)",0.06
697,"(26, 35)",0.03
698,"(26, 36)",0.03
699,"(26, 37)",0.09
700,"(26, 38)",0.09
701,"(26, 39)",0.05
702,"(27, 28)",0.05
703,"(27, 29)",0.07
704,"(27, 30)",0.07
705,"(27, 31)",0.06
706,"(27, 32)",0.06
707,"(27, 33)",0.04
708,"(27, 34)",0.04
709,"(27, 35)",0.08
710,"(27, 36)",0.08
711,"(27, 37)",0.0
712,"(27, 38)",0.0
713,"(27, 39)",0.06
714,"(28, 29)",0.02
715,"(28, 30)",0.02
716,"(28, 31)",0.03
717,"(28, 32)",0.03
718,"(28, 33)",0.02
719,"(28, 34)",0.02
720,"(28, 35)",0.03
721,"(28, 36)",0.03
722,"(28, 37)",0.05
723,"(28, 38)",0.06
724,"(28, 39)",0.02
725,"(29, 30)",0.0
726,"(29, 31)",0.03
727,"(29, 32)",0.03
728,"(29, 33)",0.03
729,"(29, 34)",0.03
730,"(29, 35)",0.02
731,"(29, 36)",0.02
732,"(29, 37)",0.07
733,"(29, 38)",0.07
734,"(29, 39)",0.02
735,"(30, 31)",0.03
736,"(30, 32)",0.03
737,"(30, 33)",0.03
738,"(30, 34)",0.03
739,"(30, 35)",0.02
740,"(30, 36)",0.02
741,"(30, 37)",0.07
742,"(30, 38)",0.07
743,"(30, 39)",0.02
744,"(31, 32)",0.0
745,"(31, 33)",0.03
746,"(31, 34)",0.03
747,"(31, 35)",0.04
748,"(31, 36)",0.04
749,"(31, 37)",0.06
750,"(31, 38)",0.06
751,"(31, 39)",0.03
752,"(32, 33)",0.03
753,"(32, 34)",0.03
754,"(32, 35)",0.04
755,"(32, 36)",0.04
756,"(32, 37)",0.06
757,"(32, 38)",0.06
758,"(32, 39)",0.03
759,"(33, 34)",0.0
760,"(33, 35)",0.04
761,"(33, 36)",0.04
762,"(33, 37)",0.04
763,"(33, 38)",0.04
764,"(33, 39)",0.02
765,"(34, 35)",0.04
766,"(34, 36)",0.04
767,"(34, 37)",0.04
768,"(34, 38)",0.04
769,"(34, 39)",0.02
770,"(35, 36)",0.0
771,"(35, 37)",0.08
772,"(35, 38)",0.08
773,"(35, 39)",0.03
774,"(36, 37)",0.08
775,"(36, 38)",0.08
776,"(36, 39)",0.03
777,"(37, 38)",0.0
778,"(37, 39)",0.06
779,"(38, 39)",0.06
